numero_dpe,date_etablissement_dpe,date_fin_validite_dpe,etiquette_dpe,etiquette_ges,type_batiment,periode_construction,surface_habitable_logement,nom_commune_ban,code_insee_ban,conso_5_usages_par_m2_ep,type_parc,station
2173E0255250D,2021-07-28,2031-07-27,G,C,appartement,1978-1982,56.6,Val-D-Isère,73304,440.3,existant,Val d'Isère
2173E0177489I,2021-08-14,2031-08-13,E,C,appartement,1978-1982,42.2,La Plagne Tarentaise,73150,316.9,existant,La Plagne
2173E0313476P,2021-09-14,2031-09-13,E,C,appartement,1948-1974,20.1,La Plagne Tarentaise,73150,388.0,existant,La Plagne
2173E0208104V,2021-08-24,2031-08-23,G,G,appartement,1948-1974,21.6,Bourg-Saint-Maurice,73054,519.6,existant,Les Arcs / Bourg-Saint-Maurice
2173E0240721I,2021-08-23,2031-08-22,F,C,appartement,1983-1988,24.1,Tignes,73296,449.9,existant,Tignes
2173E0674392Z,2021-11-11,2031-11-10,E,B,appartement,1983-1988,28.8,Bourg-Saint-Maurice,73054,76.4,existant,Les Arcs / Bourg-Saint-Maurice
2173E0802582J,2021-11-29,2031-11-28,F,C,appartement,1948-1974,30.4,Bourg-Saint-Maurice,73054,99.7,existant,Les Arcs / Bourg-Saint-Maurice
2173E0186260R,2021-08-17,2031-08-16,G,G,appartement,1948-1974,25.3,Tignes,73296,536.4,existant,Tignes
2173E0138948Z,2021-08-04,2031-08-03,F,C,appartement,1983-1988,21.7,La Plagne Tarentaise,73150,504.7,existant,La Plagne
2173E0102258V,2021-07-27,2031-07-26,C,C,appartement,2013-2021,72.3,Bourg-Saint-Maurice,73054,143.0,existant,Les Arcs / Bourg-Saint-Maurice
2173E0232387U,2021-08-30,2031-08-29,D,B,appartement,1948-1974,48.7,La Plagne Tarentaise,73150,186.8,existant,La Plagne
2173E0371521C,2021-09-22,2031-09-21,B,A,appartement,2006-2012,48.8,Sainte-Foy-Tarentaise,73232,83.2,existant,Sainte-Foy
2173E0031232B,2021-07-10,2031-07-09,F,C,appartement,1978-1982,26.6,La Plagne Tarentaise,73150,490.7,existant,La Plagne
2173E0046727A,2021-07-15,2031-07-14,E,C,appartement,1978-1982,11.8,La Plagne Tarentaise,73150,494.0,existant,La Plagne
2173E0276874V,2021-08-18,2031-08-17,F,C,maison,2001-2005,108.7,Tignes,73296,386.0,existant,Tignes
2173E0682689C,2021-11-09,2031-11-08,E,B,appartement,1983-1988,55.4,Bourg-Saint-Maurice,73054,325.8,existant,Les Arcs / Bourg-Saint-Maurice
