numero_dpe,date_etablissement_dpe,date_fin_validite_dpe,etiquette_dpe,etiquette_ges,type_batiment,periode_construction,surface_habitable_logement,nom_commune_ban,code_insee_ban,conso_5_usages_par_m2_ep,type_parc,station
2373E1913041K,2023-06-09,2033-06-08,F,C,appartement,1978-1982,32.2,Bourg-Saint-Maurice,73054,408.8,existant,Les Arcs / Bourg-Saint-Maurice
2373E1360755Q,2023-04-24,2033-04-23,D,D,appartement,1948-1974,41.3,Tignes,73296,149.8,existant,Tignes
2373E2192035Y,2023-06-28,2033-06-27,D,B,appartement,2001-2005,36.3,Bourg-Saint-Maurice,73054,245.5,existant,Les Arcs / Bourg-Saint-Maurice
2373E1206104N,2023-03-09,2033-03-08,E,C,appartement,1989-2000,39.5,Val-D-Isère,73304,373.3,existant,Val d'Isère
2273E3206092C,2022-12-31,2032-12-30,E,B,appartement,1978-1982,28.0,Tignes,73296,307.4,existant,Tignes
2373E1673209C,2023-05-22,2033-05-21,G,G,maison,1948-1974,203.0,Bourg-Saint-Maurice,73054,454.8,existant,Les Arcs / Bourg-Saint-Maurice
2373E1572568H,2023-05-12,2033-05-11,E,C,appartement,1978-1982,19.7,La Plagne Tarentaise,73150,353.2,existant,La Plagne
2373E1014694P,2023-03-27,2033-03-26,D,D,appartement,1948-1974,43.6,Val-D-Isère,73304,128.0,existant,Val d'Isère
2373E1619326R,2023-05-16,2033-05-15,E,E,appartement,1948-1974,23.7,Tignes,73296,240.7,existant,Tignes
2373E0752383S,2023-03-07,2033-03-06,E,C,appartement,avant 1948,72.2,Montvalezan,73176,333.1,existant,La Rosière
2373E1860655O,2023-06-06,2033-06-05,F,C,appartement,1989-2000,45.0,La Plagne Tarentaise,73150,412.1,existant,La Plagne
2373E1255378R,2023-03-09,2033-03-08,E,C,appartement,1983-1988,17.8,Val-D-Isère,73304,363.6,existant,Val d'Isère
2373E0433119I,2023-02-09,2033-02-08,E,E,appartement,1948-1974,23.9,Tignes,73296,258.6,existant,Tignes
2373E1180071G,2023-04-07,2033-04-06,F,F,appartement,1948-1974,12.9,Tignes,73296,373.5,existant,Tignes
2373E0215331W,2023-01-21,2033-01-20,D,D,appartement,1989-2000,61.5,Bourg-Saint-Maurice,73054,149.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E1979916N,2023-06-14,2033-06-13,F,F,appartement,1948-1974,24.3,Tignes,73296,312.2,existant,Tignes
2373E1715148D,2023-04-14,2033-04-13,F,C,maison,1948-1974,67.1,Bourg-Saint-Maurice,73054,468.8,existant,Les Arcs / Bourg-Saint-Maurice
2373E1100100L,2023-04-03,2033-04-02,E,B,appartement,2001-2005,57.5,Bourg-Saint-Maurice,73054,257.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E0722185G,2023-03-06,2033-03-05,C,B,appartement,2006-2012,78.8,Tignes,73296,172.2,existant,Tignes
2373E0573291O,2023-02-17,2033-02-16,C,B,appartement,1978-1982,158.1,Bourg-Saint-Maurice,73054,166.3,existant,Les Arcs / Bourg-Saint-Maurice
2373E1998778Z,2023-06-15,2033-06-14,C,C,appartement,1948-1974,23.1,La Plagne Tarentaise,73150,192.6,existant,La Plagne
2373E1536426F,2023-05-10,2033-05-09,E,E,appartement,1948-1974,23.0,Bourg-Saint-Maurice,73054,230.0,existant,Les Arcs / Bourg-Saint-Maurice
2273E3197194W,2022-12-07,2032-12-06,E,C,maison,avant 1948,150.6,Val-D-Isère,73304,347.9,existant,Val d'Isère
2373E0120201A,2023-01-14,2033-01-13,C,C,appartement,2013-2021,135.0,Val-D-Isère,73304,157.9,existant,Val d'Isère
2373E0972240T,2023-03-23,2033-03-22,E,E,appartement,1975-1977,20.6,Tignes,73296,234.0,existant,Tignes
2373E0364030B,2023-02-03,2033-02-02,G,D,appartement,1978-1982,32.0,Bourg-Saint-Maurice,73054,939.6,existant,Les Arcs / Bourg-Saint-Maurice
2373E1110978V,2023-04-03,2033-04-02,D,B,appartement,2001-2005,56.0,Bourg-Saint-Maurice,73054,205.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E1515235E,2023-05-08,2033-05-07,F,F,appartement,1948-1974,42.3,Tignes,73296,270.2,existant,Tignes
2373E2184819K,2023-06-19,2033-06-18,E,C,appartement,1989-2000,39.0,Bourg-Saint-Maurice,73054,376.3,existant,Les Arcs / Bourg-Saint-Maurice
2373E0328964J,2023-02-01,2033-01-31,E,E,appartement,1948-1974,48.9,La Plagne Tarentaise,73150,275.9,existant,La Plagne
2373E0262222J,2023-01-27,2033-01-26,D,B,appartement,1983-1988,33.1,Tignes,73296,255.3,existant,Tignes
2373E0999790J,2023-03-25,2033-03-24,C,C,appartement,2013-2021,33.6,La Plagne Tarentaise,73150,114.6,existant,La Plagne
2373E1484896H,2023-05-04,2033-05-03,D,B,appartement,1989-2000,23.7,La Plagne Tarentaise,73150,274.3,existant,La Plagne
2373E1889260T,2023-05-31,2033-05-30,E,C,appartement,1983-1988,14.4,Tignes,73296,403.8,existant,Tignes
2373E1436564J,2023-04-29,2033-04-28,E,E,appartement,1948-1974,35.5,Tignes,73296,242.5,existant,Tignes
2373E0029338H,2023-01-04,2033-01-03,E,C,appartement,1978-1982,32.0,Bourg-Saint-Maurice,73054,391.8,existant,Les Arcs / Bourg-Saint-Maurice
2373E1004604N,2023-02-02,2033-02-01,G,G,appartement,1948-1974,87.9,Tignes,73296,387.2,existant,Tignes
2373E0936194J,2023-03-21,2033-03-20,E,C,appartement,2006-2012,33.4,Peisey-Nancroix,73197,316.3,existant,Peisey-Vallandry
2373E0791643S,2023-03-10,2033-03-09,E,C,appartement,1983-1988,30.4,Bourg-Saint-Maurice,73054,345.2,existant,Les Arcs / Bourg-Saint-Maurice
2373E1485943O,2023-05-04,2033-05-03,E,E,appartement,1948-1974,70.0,Tignes,73296,230.6,existant,Tignes
2373E1628437C,2023-05-16,2033-05-15,D,B,appartement,2006-2012,47.5,La Plagne Tarentaise,73150,228.5,existant,La Plagne
2373E0326099E,2023-02-01,2033-01-31,E,B,appartement,2006-2012,54.0,Sainte-Foy-Tarentaise,73232,275.3,existant,Sainte-Foy
2373E1424424L,2023-04-28,2033-04-27,E,B,appartement,1983-1988,27.3,La Plagne Tarentaise,73150,299.6,existant,La Plagne
2373E0225532F,2023-01-24,2033-01-23,E,C,appartement,1983-1988,21.3,Bourg-Saint-Maurice,73054,342.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E0405166F,2023-01-26,2033-01-25,D,B,appartement,1989-2000,101.8,Bourg-Saint-Maurice,73054,242.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E1020911S,2023-03-20,2033-03-19,F,F,maison,1975-1977,96.1,Peisey-Nancroix,73197,431.3,existant,Peisey-Vallandry
2373E1126480B,2023-04-04,2033-04-03,F,F,appartement,1948-1974,80.2,Bourg-Saint-Maurice,73054,323.1,existant,Les Arcs / Bourg-Saint-Maurice
2373E0877201K,2023-03-16,2033-03-15,D,B,maison,1978-1982,215.2,Bourg-Saint-Maurice,73054,227.2,existant,Les Arcs / Bourg-Saint-Maurice
2373E1300906T,2023-04-19,2033-04-18,D,C,appartement,1948-1974,30.0,La Plagne Tarentaise,73150,229.2,existant,La Plagne
2373E1200277K,2023-04-05,2033-04-04,D,B,appartement,1978-1982,30.1,Bourg-Saint-Maurice,73054,244.3,existant,Les Arcs / Bourg-Saint-Maurice
2373E0711772T,2023-03-03,2033-03-02,D,B,appartement,1989-2000,28.6,La Plagne Tarentaise,73150,240.8,existant,La Plagne
2373E0805643E,2023-03-11,2033-03-10,D,B,appartement,1978-1982,76.0,La Plagne Tarentaise,73150,235.7,existant,La Plagne
2373E0600773O,2023-02-23,2033-02-22,D,C,maison,1948-1974,80.0,Tignes,73296,184.1,existant,Tignes
2373E1320760J,2023-04-20,2033-04-19,E,E,appartement,1948-1974,24.7,Tignes,73296,261.6,existant,Tignes
2373E0106098P,2023-01-13,2033-01-12,D,B,appartement,1948-1974,56.6,Val-D-Isère,73304,210.2,existant,Val d'Isère
2373E0913744X,2023-03-20,2033-03-19,E,C,appartement,1978-1982,47.7,La Plagne Tarentaise,73150,369.0,existant,La Plagne
2373E1657489M,2023-05-20,2033-05-19,F,F,appartement,1948-1974,72.0,Bourg-Saint-Maurice,73054,290.9,existant,Les Arcs / Bourg-Saint-Maurice
2373E1042637I,2023-03-11,2033-03-10,E,C,appartement,1948-1974,58.0,Bourg-Saint-Maurice,73054,305.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E1295781Q,2023-04-19,2033-04-18,C,A,appartement,avant 1948,61.8,Bourg-Saint-Maurice,73054,113.9,existant,Les Arcs / Bourg-Saint-Maurice
2373E0174448L,2023-01-19,2033-01-18,G,C,appartement,1983-1988,43.3,Tignes,73296,523.6,existant,Tignes
2373E1568202J,2023-05-12,2033-05-11,F,C,appartement,1978-1982,32.9,La Plagne Tarentaise,73150,415.8,existant,La Plagne
2373E1868648Z,2023-06-03,2033-06-02,E,E,appartement,1978-1982,21.0,Val-D-Isère,73304,237.7,existant,Val d'Isère
2373E0138616H,2023-01-17,2033-01-16,D,B,appartement,avant 1948,42.2,Peisey-Nancroix,73197,230.2,existant,Peisey-Vallandry
2373E1153072V,2023-04-06,2033-04-05,D,B,appartement,1989-2000,22.6,La Plagne Tarentaise,73150,265.0,existant,La Plagne
2373E0544739K,2023-02-20,2033-02-19,E,C,appartement,1983-1988,16.2,Bourg-Saint-Maurice,73054,378.8,existant,Les Arcs / Bourg-Saint-Maurice
2373E1909978P,2023-06-08,2033-06-07,F,F,appartement,1978-1982,33.4,Bourg-Saint-Maurice,73054,341.6,existant,Les Arcs / Bourg-Saint-Maurice
2373E1896478J,2023-06-08,2033-06-07,D,B,appartement,2006-2012,39.1,Bourg-Saint-Maurice,73054,205.5,existant,Les Arcs / Bourg-Saint-Maurice
2373E0101468N,2023-01-12,2033-01-11,E,C,maison,2006-2012,98.5,Tignes,73296,325.4,existant,Tignes
2373E1689061U,2023-05-23,2033-05-22,D,B,appartement,2006-2012,81.6,Val-D-Isère,73304,189.5,existant,Val d'Isère
2373E1553178N,2023-05-10,2033-05-09,E,C,appartement,1983-1988,16.3,Bourg-Saint-Maurice,73054,379.0,existant,Les Arcs / Bourg-Saint-Maurice
2373E0526690F,2023-02-14,2033-02-13,D,B,appartement,1989-2000,31.1,Val-D-Isère,73304,239.3,existant,Val d'Isère
2373E2208382R,2023-06-30,2033-06-29,G,C,appartement,1983-1988,19.8,Bourg-Saint-Maurice,73054,654.1,existant,Les Arcs / Bourg-Saint-Maurice
2373E2021424Z,2023-06-17,2033-06-16,G,C,appartement,1983-1988,20.4,La Plagne Tarentaise,73150,558.6,existant,La Plagne
2373E1591084L,2023-05-14,2033-05-13,F,C,maison,avant 1948,76.7,La Plagne Tarentaise,73150,404.6,existant,La Plagne
2373E0850451O,2023-03-15,2033-03-14,E,C,appartement,1978-1982,112.9,Bourg-Saint-Maurice,73054,353.9,existant,Les Arcs / Bourg-Saint-Maurice
2373E2192941U,2023-06-13,2033-06-12,E,E,appartement,2001-2005,64.9,Tignes,73296,177.0,existant,Tignes
2373E1445565O,2023-04-25,2033-04-24,C,A,appartement,1948-1974,30.0,Bourg-Saint-Maurice,73054,187.5,existant,Les Arcs / Bourg-Saint-Maurice
2373E0446294B,2023-02-10,2033-02-09,E,E,appartement,1948-1974,26.7,Tignes,73296,231.6,existant,Tignes
2373E0722383W,2023-02-22,2033-02-21,E,E,appartement,2001-2005,83.4,Bourg-Saint-Maurice,73054,218.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E0166440L,2023-01-15,2033-01-14,D,B,appartement,1975-1977,64.1,Bourg-Saint-Maurice,73054,220.8,existant,Les Arcs / Bourg-Saint-Maurice
2373E0439280H,2023-02-10,2033-02-09,D,B,appartement,2006-2012,64.6,La Plagne Tarentaise,73150,216.0,existant,La Plagne
2373E0093978L,2023-01-12,2033-01-11,E,B,appartement,1978-1982,35.2,La Plagne Tarentaise,73150,258.0,existant,La Plagne
2373E0020610P,2023-01-03,2033-01-02,D,B,appartement,2006-2012,52.0,Sainte-Foy-Tarentaise,73232,236.9,existant,Sainte-Foy
2373E2184922J,2023-06-23,2033-06-22,D,B,appartement,avant 1948,68.4,Bourg-Saint-Maurice,73054,220.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E1389682F,2023-04-25,2033-04-24,F,C,appartement,1978-1982,15.3,La Plagne Tarentaise,73150,552.6,existant,La Plagne
2373E0120153E,2023-01-14,2033-01-13,E,C,appartement,1989-2000,23.0,Peisey-Nancroix,73197,318.6,existant,Peisey-Vallandry
2373E1023945K,2023-03-26,2033-03-25,D,B,appartement,2001-2005,56.0,Bourg-Saint-Maurice,73054,233.8,existant,Les Arcs / Bourg-Saint-Maurice
2373E1626389I,2023-05-17,2033-05-16,D,D,appartement,1948-1974,36.6,Val-D-Isère,73304,133.7,existant,Val d'Isère
2373E1206244X,2023-03-31,2033-03-30,E,C,appartement,1948-1974,55.9,Val-D-Isère,73304,317.3,existant,Val d'Isère
2373E1421391U,2023-04-28,2033-04-27,E,E,appartement,1978-1982,40.5,Val-D-Isère,73304,214.3,existant,Val d'Isère
2373E2138852L,2023-06-26,2033-06-25,E,B,appartement,1948-1974,105.6,Bourg-Saint-Maurice,73054,268.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E1041939M,2023-03-29,2033-03-28,E,C,maison,avant 1948,159.1,Bourg-Saint-Maurice,73054,309.3,existant,Les Arcs / Bourg-Saint-Maurice
2373E1730150D,2023-05-25,2033-05-24,E,E,appartement,1948-1974,21.1,Val-D-Isère,73304,200.8,existant,Val d'Isère
2373E1522025I,2023-05-09,2033-05-08,D,C,appartement,1948-1974,32.7,La Plagne Tarentaise,73150,228.5,existant,La Plagne
2373E2034806R,2023-06-19,2033-06-18,E,C,maison,1983-1988,200.5,La Plagne Tarentaise,73150,308.1,existant,La Plagne
2373E1222160B,2023-04-03,2033-04-02,E,E,appartement,1948-1974,36.2,Bourg-Saint-Maurice,73054,204.2,existant,Les Arcs / Bourg-Saint-Maurice
2373E0497529Q,2023-02-10,2033-02-09,E,E,appartement,1948-1974,28.7,Tignes,73296,214.2,existant,Tignes
2373E0572937Y,2023-02-22,2033-02-21,G,D,appartement,1948-1974,18.9,La Plagne Tarentaise,73150,848.7,existant,La Plagne
2373E0060628T,2023-01-09,2033-01-08,D,B,appartement,1978-1982,28.3,Bourg-Saint-Maurice,73054,225.2,existant,Les Arcs / Bourg-Saint-Maurice
2373E0482629O,2023-02-14,2033-02-13,G,G,appartement,1948-1974,95.6,Bourg-Saint-Maurice,73054,465.6,existant,Les Arcs / Bourg-Saint-Maurice
2373E0830137G,2023-03-14,2033-03-13,E,B,appartement,1978-1982,27.6,La Plagne Tarentaise,73150,309.0,existant,La Plagne
2373E2117345G,2023-06-24,2033-06-23,G,G,maison,1948-1974,154.0,Bourg-Saint-Maurice,73054,445.2,existant,Les Arcs / Bourg-Saint-Maurice
2373E0443091W,2023-02-10,2033-02-09,D,B,appartement,1983-1988,24.9,Val-D-Isère,73304,270.3,existant,Val d'Isère
2373E0764725K,2023-03-01,2033-02-28,E,B,appartement,1978-1982,31.9,Bourg-Saint-Maurice,73054,280.0,existant,Les Arcs / Bourg-Saint-Maurice
2373E1791712X,2023-05-31,2033-05-30,E,C,maison,avant 1948,46.5,Bourg-Saint-Maurice,73054,299.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E1404874N,2023-04-26,2033-04-25,F,C,appartement,1978-1982,27.9,Bourg-Saint-Maurice,73054,440.3,existant,Les Arcs / Bourg-Saint-Maurice
2373E0198203C,2023-01-18,2033-01-17,E,B,appartement,1975-1977,13.3,Bourg-Saint-Maurice,73054,373.5,existant,Les Arcs / Bourg-Saint-Maurice
2373E0846863O,2023-03-15,2033-03-14,E,C,appartement,1975-1977,23.0,La Plagne Tarentaise,73150,344.4,existant,La Plagne
2373E1911783A,2023-06-08,2033-06-07,D,B,appartement,1989-2000,133.7,Montvalezan,73176,237.1,existant,La Rosière
2373E0328305A,2023-01-30,2033-01-29,E,E,appartement,1948-1974,50.1,Tignes,73296,212.1,existant,Tignes
2373E1220940D,2023-04-06,2033-04-05,E,B,appartement,2006-2012,41.9,Bourg-Saint-Maurice,73054,263.1,existant,Les Arcs / Bourg-Saint-Maurice
2373E1109115E,2023-04-03,2033-04-02,D,B,appartement,2001-2005,37.8,Bourg-Saint-Maurice,73054,227.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E0283200F,2023-01-18,2033-01-17,F,C,maison,1948-1974,152.0,Bourg-Saint-Maurice,73054,489.1,existant,Les Arcs / Bourg-Saint-Maurice
2373E1799324R,2023-05-31,2033-05-30,D,D,appartement,1975-1977,29.9,Montvalezan,73176,183.6,existant,La Rosière
2373E0540152Z,2023-02-19,2033-02-18,E,E,appartement,1948-1974,46.3,Tignes,73296,208.1,existant,Tignes
2373E0437209Q,2023-01-06,2033-01-05,F,C,maison,1983-1988,81.5,La Plagne Tarentaise,73150,397.7,existant,La Plagne
2373E1494485C,2023-05-05,2033-05-04,E,C,appartement,1978-1982,25.5,La Plagne Tarentaise,73150,319.4,existant,La Plagne
2373E1937982R,2023-06-12,2033-06-11,F,C,appartement,1948-1974,28.6,La Plagne Tarentaise,73150,486.0,existant,La Plagne
2373E1694316X,2023-05-21,2033-05-20,D,D,appartement,1948-1974,41.5,Tignes,73296,109.9,existant,Tignes
2373E1980237W,2023-06-12,2033-06-11,E,C,appartement,1989-2000,56.1,Val-D-Isère,73304,321.2,existant,Val d'Isère
2373E1737379E,2023-05-26,2033-05-25,E,C,appartement,1978-1982,26.9,La Plagne Tarentaise,73150,410.8,existant,La Plagne
2373E1515605K,2023-05-08,2033-05-07,E,E,appartement,1975-1977,20.3,Tignes,73296,228.0,existant,Tignes
2373E0058191A,2023-01-09,2033-01-08,E,B,appartement,1989-2000,29.0,La Plagne Tarentaise,73150,281.2,existant,La Plagne
2373E1180083S,2023-04-07,2033-04-06,F,F,appartement,1948-1974,25.8,Tignes,73296,357.3,existant,Tignes
2373E0265195S,2023-01-27,2033-01-26,C,C,appartement,1948-1974,16.2,La Plagne Tarentaise,73150,253.1,existant,La Plagne
2373E0224838N,2023-01-24,2033-01-23,F,C,appartement,1948-1974,39.1,La Plagne Tarentaise,73150,423.7,existant,La Plagne
2373E0738008V,2023-02-16,2033-02-15,E,B,appartement,1948-1974,28.1,Bourg-Saint-Maurice,73054,279.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E0601335E,2023-02-23,2033-02-22,F,E,maison,avant 1948,72.6,Peisey-Nancroix,73197,395.6,existant,Peisey-Vallandry
2373E1002999U,2023-03-26,2033-03-25,E,C,appartement,1978-1982,27.0,La Plagne Tarentaise,73150,351.0,existant,La Plagne
2373E1965946F,2023-06-13,2033-06-12,C,A,appartement,2006-2012,103.2,Bourg-Saint-Maurice,73054,140.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E1803610N,2023-06-01,2033-05-31,D,D,appartement,1989-2000,61.6,La Plagne Tarentaise,73150,170.3,existant,La Plagne
2373E1663034T,2023-05-22,2033-05-21,D,B,appartement,1989-2000,23.7,Montvalezan,73176,247.8,existant,La Rosière
2373E0641496V,2023-02-16,2033-02-15,D,B,appartement,1948-1974,59.4,La Plagne Tarentaise,73150,247.9,existant,La Plagne
2373E0750342F,2023-03-07,2033-03-06,D,B,appartement,1983-1988,37.8,Val-D-Isère,73304,236.1,existant,Val d'Isère
2373E0741142J,2023-03-06,2033-03-05,E,C,appartement,1983-1988,49.8,Val-D-Isère,73304,311.9,existant,Val d'Isère
2373E1401364N,2023-04-27,2033-04-26,D,B,appartement,1978-1982,28.3,Bourg-Saint-Maurice,73054,251.1,existant,Les Arcs / Bourg-Saint-Maurice
2373E0925680Z,2023-03-16,2033-03-15,E,C,appartement,1989-2000,71.2,Val-D-Isère,73304,309.3,existant,Val d'Isère
2373E1001345E,2023-03-25,2033-03-24,D,B,appartement,1948-1974,37.6,La Plagne Tarentaise,73150,201.2,existant,La Plagne
2373E1488070J,2023-05-04,2033-05-03,F,F,appartement,1989-2000,34.2,La Plagne Tarentaise,73150,279.8,existant,La Plagne
2373E0917744T,2023-03-19,2033-03-18,D,D,appartement,1948-1974,48.0,Tignes,73296,154.4,existant,Tignes
2373E1896309W,2023-06-08,2033-06-07,E,B,appartement,1983-1988,28.9,La Plagne Tarentaise,73150,310.1,existant,La Plagne
2373E1657076P,2023-05-20,2033-05-19,F,F,maison,1948-1974,71.0,Sainte-Foy-Tarentaise,73232,345.3,existant,Sainte-Foy
2273E3211064I,2022-12-20,2032-12-19,D,D,appartement,avant 1948,54.7,Montvalezan,73176,158.2,existant,La Rosière
2373E0364180V,2023-02-03,2033-02-02,F,F,appartement,1948-1974,39.1,Tignes,73296,277.9,existant,Tignes
2373E0549476P,2023-02-20,2033-02-19,F,F,appartement,1978-1982,157.8,Bourg-Saint-Maurice,73054,338.5,existant,Les Arcs / Bourg-Saint-Maurice
2373E1490448V,2023-05-04,2033-05-03,F,C,appartement,2006-2012,78.9,La Plagne Tarentaise,73150,331.2,existant,La Plagne
2373E0757684P,2023-03-08,2033-03-07,E,B,appartement,1989-2000,33.5,Val-D-Isère,73304,310.4,existant,Val d'Isère
2373E1477066D,2023-03-31,2033-03-30,E,C,appartement,1978-1982,22.6,Bourg-Saint-Maurice,73054,350.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E1014356P,2023-03-27,2033-03-26,E,B,appartement,1983-1988,14.9,Tignes,73296,351.0,existant,Tignes
2373E2118426V,2023-06-24,2033-06-23,D,B,appartement,1989-2000,52.5,Montvalezan,73176,183.9,existant,La Rosière
2373E1114613Q,2023-04-04,2033-04-03,F,C,appartement,1983-1988,18.2,Bourg-Saint-Maurice,73054,502.0,existant,Les Arcs / Bourg-Saint-Maurice
2373E1157811C,2023-04-06,2033-04-05,E,C,appartement,1978-1982,30.0,La Plagne Tarentaise,73150,383.3,existant,La Plagne
2373E0221273K,2023-01-10,2033-01-09,E,E,appartement,1948-1974,39.4,Tignes,73296,238.7,existant,Tignes
2373E0542875S,2023-02-02,2033-02-01,E,E,appartement,1948-1974,20.4,Val-D-Isère,73304,267.2,existant,Val d'Isère
2373E2117387W,2023-06-24,2033-06-23,G,G,maison,1948-1974,154.0,Bourg-Saint-Maurice,73054,472.5,existant,Les Arcs / Bourg-Saint-Maurice
2373E0806896J,2023-03-11,2033-03-10,E,C,appartement,1989-2000,22.6,La Plagne Tarentaise,73150,347.8,existant,La Plagne
2373E0751825G,2023-03-07,2033-03-06,G,D,appartement,1975-1977,35.0,La Plagne Tarentaise,73150,904.2,existant,La Plagne
2373E1294384X,2023-04-19,2033-04-18,E,C,appartement,1978-1982,26.5,La Plagne Tarentaise,73150,385.6,existant,La Plagne
2273E3198966A,2022-11-20,2032-11-19,G,C,maison,1948-1974,86.9,Val-D-Isère,73304,610.3,existant,Val d'Isère
2373E1736644X,2023-05-26,2033-05-25,D,B,appartement,1989-2000,31.3,La Plagne Tarentaise,73150,262.4,existant,La Plagne
2373E1574360F,2023-05-12,2033-05-11,E,B,appartement,1948-1974,52.0,La Plagne Tarentaise,73150,250.1,existant,La Plagne
2373E0582557Y,2023-02-08,2033-02-07,C,B,appartement,1989-2000,18.4,Bourg-Saint-Maurice,73054,233.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E0318703S,2023-01-26,2033-01-25,D,B,appartement,1978-1982,53.0,Bourg-Saint-Maurice,73054,232.7,existant,Les Arcs / Bourg-Saint-Maurice
2373E1136360B,2023-03-29,2033-03-28,E,B,appartement,2001-2005,39.6,Bourg-Saint-Maurice,73054,254.1,existant,Les Arcs / Bourg-Saint-Maurice
2373E0772902X,2023-03-09,2033-03-08,G,G,maison,1948-1974,71.0,Sainte-Foy-Tarentaise,73232,651.0,existant,Sainte-Foy
2373E0772992J,2023-03-09,2033-03-08,C,C,appartement,1989-2000,64.0,Bourg-Saint-Maurice,73054,149.1,existant,Les Arcs / Bourg-Saint-Maurice
2373E0084201K,2023-01-08,2033-01-07,E,C,appartement,1983-1988,16.5,Bourg-Saint-Maurice,73054,453.1,existant,Les Arcs / Bourg-Saint-Maurice
2373E0094960F,2023-01-12,2033-01-11,E,C,appartement,1989-2000,43.0,La Plagne Tarentaise,73150,322.0,existant,La Plagne
2373E0425468B,2023-02-03,2033-02-02,E,C,appartement,1983-1988,51.8,Bourg-Saint-Maurice,73054,370.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E0194273Y,2023-01-20,2033-01-19,G,C,maison,avant 1948,167.4,Peisey-Nancroix,73197,536.7,existant,Peisey-Vallandry
2373E1196031C,2023-04-06,2033-04-05,F,C,appartement,1989-2000,35.0,Val-D-Isère,73304,501.9,existant,Val d'Isère
2373E0528773I,2023-02-17,2033-02-16,F,F,appartement,1975-1977,29.1,Bourg-Saint-Maurice,73054,361.3,existant,Les Arcs / Bourg-Saint-Maurice
2373E1239417U,2023-03-31,2033-03-30,F,C,appartement,1978-1982,22.6,Bourg-Saint-Maurice,73054,444.4,existant,Les Arcs / Bourg-Saint-Maurice
2273E3205801X,2022-12-20,2032-12-19,E,E,appartement,1948-1974,26.7,Val-D-Isère,73304,267.7,existant,Val d'Isère
2373E0145044N,2023-01-17,2033-01-16,E,C,appartement,1989-2000,51.0,La Plagne Tarentaise,73150,312.0,existant,La Plagne
2373E2001166V,2023-06-15,2033-06-14,D,B,appartement,1978-1982,23.7,La Plagne Tarentaise,73150,273.2,existant,La Plagne
2373E1000582V,2023-03-25,2033-03-24,E,C,appartement,1948-1974,29.6,Bourg-Saint-Maurice,73054,408.8,existant,Les Arcs / Bourg-Saint-Maurice
2373E1344175Y,2023-04-21,2033-04-20,F,F,appartement,1948-1974,53.5,Tignes,73296,309.3,existant,Tignes
2373E1430034F,2023-04-28,2033-04-27,E,E,appartement,1948-1974,25.4,Tignes,73296,228.6,existant,Tignes
2373E0547829G,2023-02-20,2033-02-19,E,C,appartement,1989-2000,18.2,Bourg-Saint-Maurice,73054,376.2,existant,Les Arcs / Bourg-Saint-Maurice
2373E2123477C,2023-06-26,2033-06-25,E,E,appartement,1975-1977,84.3,Bourg-Saint-Maurice,73054,353.0,existant,Les Arcs / Bourg-Saint-Maurice
2373E0650559K,2023-02-27,2033-02-26,E,C,appartement,1989-2000,45.3,La Plagne Tarentaise,73150,369.1,existant,La Plagne
2273E3231889H,2022-09-27,2032-09-26,F,F,appartement,1948-1974,42.3,Tignes,73296,347.7,existant,Tignes
2373E0426738X,2023-02-07,2033-02-06,E,C,appartement,1948-1974,18.3,La Plagne Tarentaise,73150,421.6,existant,La Plagne
2373E1159312V,2023-04-06,2033-04-05,E,E,maison,1948-1974,173.8,La Plagne Tarentaise,73150,267.2,existant,La Plagne
2373E1845805K,2023-06-05,2033-06-04,E,C,appartement,1978-1982,29.8,La Plagne Tarentaise,73150,360.1,existant,La Plagne
2373E2032096L,2023-06-17,2033-06-16,D,B,appartement,2001-2005,51.0,Bourg-Saint-Maurice,73054,243.4,existant,Les Arcs / Bourg-Saint-Maurice
2373E0768413G,2023-03-08,2033-03-07,G,C,appartement,1948-1974,24.5,La Plagne Tarentaise,73150,543.3,existant,La Plagne
2373E0288656B,2023-01-30,2033-01-29,E,E,appartement,1948-1974,43.6,Bourg-Saint-Maurice,73054,246.0,existant,Les Arcs / Bourg-Saint-Maurice
2373E0601341K,2023-02-23,2033-02-22,E,C,appartement,1978-1982,26.4,Peisey-Nancroix,73197,370.8,existant,Peisey-Vallandry
2373E0717860X,2023-03-04,2033-03-03,C,A,appartement,2001-2005,69.0,Bourg-Saint-Maurice,73054,128.1,existant,Les Arcs / Bourg-Saint-Maurice
