id,date,annee,mois,prix,nature_mutation,vefa,codtypbien,type_bien,surface_m2,code_commune,nb_lots,nb_appartements,nb_maisons,commune,prix_m2,altitude,station
6319355,2018-09-27,2018,9,107382.0,Vente,False,121,UN APPARTEMENT,28.0,73054,1,1,0,Bourg-Saint-Maurice,3835.07,1714,Les Arcs / Bourg-Saint-Maurice
6311065,2018-07-16,2018,7,47000.0,Vente,False,121,UN APPARTEMENT,19.0,73150,1,1,0,La Plagne Tarentaise,2473.68,2057,La Plagne
6312980,2018-08-23,2018,8,89011.0,Vente,False,121,UN APPARTEMENT,27.0,73150,1,1,0,La Plagne Tarentaise,3296.7,2093,La Plagne
6318327,2018-08-23,2018,8,175000.0,Vente,False,121,UN APPARTEMENT,43.0,73150,1,1,0,La Plagne Tarentaise,4069.77,1972,La Plagne
6325001,2018-12-13,2018,12,107000.0,Vente,False,121,UN APPARTEMENT,30.0,73054,1,1,0,Bourg-Saint-Maurice,3566.67,1704,Les Arcs / Bourg-Saint-Maurice
6326094,2018-12-18,2018,12,177800.0,Vente,False,121,UN APPARTEMENT,36.0,73296,2,1,0,Tignes,4938.89,2066,Tignes
6316140,2018-09-19,2018,9,93000.0,Vente,False,121,UN APPARTEMENT,26.0,73296,1,1,0,Tignes,3576.92,2110,Tignes
6320965,2018-11-09,2018,11,130000.0,Vente,False,121,UN APPARTEMENT,21.0,73304,1,1,0,Val-d-Isère,6190.48,1821,Val d'Isère
6322913,2018-10-11,2018,10,195000.0,Vente,False,121,UN APPARTEMENT,24.0,73304,1,1,0,Val-d-Isère,8125.0,1821,Val d'Isère
6320412,2018-12-17,2018,12,154635.0,Vente,False,121,UN APPARTEMENT,56.0,73054,1,1,0,Bourg-Saint-Maurice,2761.34,815,Les Arcs / Bourg-Saint-Maurice
6321050,2018-09-12,2018,9,710000.0,Vente,False,111,UNE MAISON,185.0,73296,1,0,1,Tignes,3837.84,1585,Tignes
6322131,2018-09-05,2018,9,119900.0,Vente,False,121,UN APPARTEMENT,25.0,73150,2,1,0,La Plagne Tarentaise,4796.0,2082,La Plagne
6324172,2018-09-11,2018,9,300000.0,Vente,False,121,UN APPARTEMENT,43.0,73304,2,1,0,Val-d-Isère,6976.74,1817,Val d'Isère
6334776,2019-07-09,2019,7,93045.0,Vente,False,121,UN APPARTEMENT,29.0,73150,2,1,0,La Plagne Tarentaise,3208.45,2049,La Plagne
6335736,2019-09-11,2019,9,163000.0,Vente,False,121,UN APPARTEMENT,50.0,73054,1,1,0,Bourg-Saint-Maurice,3260.0,818,Les Arcs / Bourg-Saint-Maurice
6318337,2018-12-12,2018,12,219000.0,Vente,False,121,UN APPARTEMENT,45.0,73150,1,1,0,La Plagne Tarentaise,4866.67,1362,La Plagne
6319540,2018-08-14,2018,8,202500.0,Vente,False,121,UN APPARTEMENT,43.0,73176,1,1,0,Montvalezan,4709.3,1837,La Rosière
6319795,2018-10-30,2018,10,203090.0,Vente,False,121,UN APPARTEMENT,43.0,73296,1,1,0,Tignes,4723.02,2110,Tignes
6328614,2018-09-27,2018,9,124850.0,Vente,False,121,UN APPARTEMENT,41.0,73054,1,1,0,Bourg-Saint-Maurice,3045.12,811,Les Arcs / Bourg-Saint-Maurice
6343510,2019-12-20,2019,12,1408000.0,Vente,False,121,UN APPARTEMENT,86.0,73304,1,1,0,Val-d-Isère,16372.09,1841,Val d'Isère
6348147,2019-09-30,2019,9,68400.0,Vente,False,121,UN APPARTEMENT,36.0,73054,1,1,0,Bourg-Saint-Maurice,1900.0,811,Les Arcs / Bourg-Saint-Maurice
6328038,2018-11-23,2018,11,109900.0,Vente,False,121,UN APPARTEMENT,30.0,73150,1,1,0,La Plagne Tarentaise,3663.33,2051,La Plagne
6353547,2019-07-11,2019,7,920000.0,Vente en l'état futur d'achèvement,True,121,UN APPARTEMENT,123.0,73054,2,1,0,Bourg-Saint-Maurice,7479.67,1726,Les Arcs / Bourg-Saint-Maurice
6336506,2019-10-07,2019,10,224710.0,Vente,False,121,UN APPARTEMENT,75.0,73054,2,1,0,Bourg-Saint-Maurice,2996.13,888,Les Arcs / Bourg-Saint-Maurice
6337797,2019-11-14,2019,11,424350.0,Vente,False,121,UN APPARTEMENT,42.0,73296,4,1,0,Tignes,10103.57,2110,Tignes
6338180,2019-07-12,2019,7,102150.0,Vente,False,121,UN APPARTEMENT,32.0,73054,1,1,0,Bourg-Saint-Maurice,3192.19,1604,Les Arcs / Bourg-Saint-Maurice
6343734,2019-11-20,2019,11,150300.0,Vente,False,121,UN APPARTEMENT,32.0,73054,1,1,0,Bourg-Saint-Maurice,4696.88,1725,Les Arcs / Bourg-Saint-Maurice
6341071,2019-07-25,2019,7,160000.0,Vente,False,121,UN APPARTEMENT,45.0,73054,2,1,0,Bourg-Saint-Maurice,3555.56,1604,Les Arcs / Bourg-Saint-Maurice
6342270,2019-12-18,2019,12,98100.0,Vente,False,121,UN APPARTEMENT,21.0,73296,1,1,0,Tignes,4671.43,2111,Tignes
6342867,2019-08-09,2019,8,81000.0,Vente,False,121,UN APPARTEMENT,23.0,73150,1,1,0,La Plagne Tarentaise,3521.74,2093,La Plagne
6346508,2019-07-12,2019,7,190000.0,Vente,False,121,UN APPARTEMENT,44.0,73150,2,1,0,La Plagne Tarentaise,4318.18,2096,La Plagne
6349051,2019-08-02,2019,8,445000.0,Vente,False,111,UNE MAISON,80.0,73176,2,0,1,Montvalezan,5562.5,1819,La Rosière
